SerialNo,ReceivedDateTime,SpindleSpeed_max,ServoCurrent_X_max,ServoCurrent_Z1_max,ServoCurrent_Z2_max,ServoCurrent_Z3_max,ServoLoad_X_max,ServoLoad_Z1_max,ServoLoad_Z2_max,ServoLoad_Z3_max,SpindleSpeed_mean,ServoCurrent_X_mean,ServoCurrent_Z1_mean,ServoCurrent_Z2_mean,ServoCurrent_Z3_mean,ServoLoad_X_mean,ServoLoad_Z1_mean,ServoLoad_Z2_mean,ServoLoad_Z3_mean,SpindleSpeed_min,ServoCurrent_X_min,ServoCurrent_Z1_min,ServoCurrent_Z2_min,ServoCurrent_Z3_min,ServoLoad_X_min,ServoLoad_Z1_min,ServoLoad_Z2_min,ServoLoad_Z3_min,SpindleSpeed_std,ServoCurrent_X_std,ServoCurrent_Z1_std,ServoCurrent_Z2_std,ServoCurrent_Z3_std,ServoLoad_X_std,ServoLoad_Z1_std,ServoLoad_Z2_std,ServoLoad_Z3_std,SpindleLoad_max,SpindleLoad_mean,SpindleLoad_min,SpindleLoad_std,passorfail
20220823-0000210,44:05.9,2228.06,1064.54,3112.82,30.3,4613.68,162.61,206.04,30.3,4173.32,1197.736194,169.1065806,234.3134839,30.3,126.1196774,18.38851613,14.83070968,30.3,72.13354839,0,1.01,12.12,30.3,40.4,0,0,30.3,40.4,871.1405159,199.4344336,438.408118,0,592.0654948,20.09391056,28.41554316,0,333.4598165,31397.42762,3276.599178,0,4775.551987,0
20220823-0000210,44:05.9,2216.9197,1117.767,3112.82,30.3,4613.68,162.61,206.04,30.3,4173.32,1257.623003,152.1959226,234.3134839,30.3,126.1196774,18.38851613,14.83070968,30.3,72.13354839,0,1.01,12.12,30.3,40.4,0,0,30.3,40.4,862.4291107,179.4909903,438.408118,0,592.0654948,22.10330161,28.41554316,0,366.8057981,31711.4019,2948.939261,0,5253.107185,1
20220823-0000212,46:38.9,2224.02,1041.31,2285.63,30.3,4187.46,144.43,213.11,30.3,4165.24,1198.895732,155.8938217,203.5182166,30.3,72.41764331,16.84834395,14.71254777,30.3,71.67783439,0,2.02,15.15,30.3,40.4,0,0,30.3,40.4,881.019071,158.0592957,283.0903115,0,333.0853891,16.58846209,26.80724676,0,330.7089348,31929.03506,3337.213515,0,4855.58105,0
20220823-0000213,47:57.4,2226.04,739.32,1370.57,30.3,4657.11,161.6,153.52,30.3,473.69,1268.670685,144.5891096,204.6287671,30.3,108.4989041,16.31910959,14.71417808,30.3,51.1710274,0,1.01,17.17,30.3,40.4,0,1.01,30.3,40.4,843.8937748,131.571689,235.0903165,0,529.3104444,17.19015943,21.5378282,0,64.29356936,32046.27384,3357.459219,0,4975.901192,0
20220823-0000214,49:10.4,2230.08,1040.3,1679.63,30.3,4244.02,81.81,180.79,30.3,467.63,1267.625578,148.4012925,205.0987075,30.3,80.90306122,16.11877551,14.56598639,30.3,48.90598639,0,2.02,5.05,30.3,40.4,0,0,30.3,40.4,843.037489,157.2363477,256.6486363,0,351.7845401,15.01371835,22.6276266,0,58.9715163,31930.97628,3409.179234,0,5014.932281,0
20220823-0000216,51:36.9,2228.06,967.58,1630.14,30.3,4564.19,178.77,132.31,30.3,482.78,922.75,165.04,149.21,30.3,168.06,17.63,9.89,30.3,56.19,0,1.01,3.03,30.3,40.4,0,0,30.3,40.4,920.976502,152.1558245,234.7474625,0,730.2306004,19.53243016,17.68908473,0,77.93675529,31501.67881,3267.221617,0,4830.08503,0
20220823-0000217,51:37.9,2228.06,688.82,1990.71,30.3,4270.28,178.77,132.31,30.3,482.78,585.326962,153.9610759,105.513038,30.3,67.17139241,18.46126582,6.232594937,30.3,43.19987342,0,4.04,0,30.3,40.4,0,0,30.3,40.4,858.9527033,86.94595299,235.1839787,0,335.4581956,16.37651407,14.17486669,0,35.08373679,32047.56866,3338.720397,0,4965.645435,0
20220823-0000218,53:17.9,2227.05,874.66,1212,30.3,4184.43,185.84,137.36,30.3,434.3,575.1700617,158.3891975,81.78506173,30.3,91.5795679,18.16753086,6.17845679,30.3,47.52611111,0,4.04,0,30.3,40.4,0,0,30.3,40.4,849.2013208,91.09924815,140.724325,0,457.5568237,16.11538564,14.75745279,0,51.88838273,31500.59003,3494.901338,0,4989.657813,0
20220823-0000219,54:14.9,2227.05,1433.19,2275.53,30.3,4192.51,185.84,176.75,30.3,4171.3,1002.785714,152.8762637,179.5191758,30.3,86.00538462,17.75269231,12.14774725,30.3,65.23379121,0,0,3.03,30.3,40.4,0,0,30.3,40.4,912.7587862,157.8004918,284.8650732,0,432.4529016,21.33252671,21.66475342,0,306.5074233,31287.08512,3284.087751,0,4853.184462,0
20220823-0000219,54:14.9,2215.91475,1504.8495,2275.53,30.3,4192.51,185.84,176.75,30.3,4171.3,1052.925,137.5886374,179.5191758,30.3,86.00538462,17.75269231,12.14774725,30.3,65.23379121,0,0,3.03,30.3,40.4,0,0,30.3,40.4,903.6311983,142.0204426,284.8650732,0,432.4529016,23.46577938,21.66475342,0,337.1581656,31599.95597,2955.678976,0,5338.502908,1
